theta0;omega0;theta1;omega1;
1.96;-2.74;-0.43;-2.12;
1.96;-2.75;-0.432;-2.12;
1.96;-2.76;-0.434;-2.11;
1.95;-2.76;-0.436;-2.1;
1.95;-2.77;-0.438;-2.1;
1.95;-2.78;-0.44;-2.09;
1.95;-2.79;-0.442;-2.09;
1.94;-2.8;-0.444;-2.08;
1.94;-2.81;-0.446;-2.07;
1.94;-2.82;-0.448;-2.07;
1.93;-2.83;-0.45;-2.06;
1.93;-2.83;-0.453;-2.05;
1.93;-2.84;-0.455;-2.04;
1.93;-2.85;-0.457;-2.04;
1.92;-2.86;-0.459;-2.03;
1.92;-2.87;-0.461;-2.02;
1.92;-2.88;-0.463;-2.01;
1.91;-2.89;-0.465;-2.01;
1.91;-2.89;-0.467;-2;
1.91;-2.9;-0.469;-1.99;
1.91;-2.91;-0.471;-1.98;
1.9;-2.92;-0.473;-1.97;
1.9;-2.93;-0.475;-1.96;
1.9;-2.94;-0.477;-1.96;
1.89;-2.94;-0.479;-1.95;
1.89;-2.95;-0.48;-1.94;
1.89;-2.96;-0.482;-1.93;
1.89;-2.97;-0.484;-1.92;
1.88;-2.98;-0.486;-1.91;
1.88;-2.99;-0.488;-1.9;
1.88;-2.99;-0.49;-1.89;
1.87;-3;-0.492;-1.88;
1.87;-3.01;-0.494;-1.87;
1.87;-3.02;-0.496;-1.86;
1.86;-3.03;-0.498;-1.85;
1.86;-3.03;-0.499;-1.84;
1.86;-3.04;-0.501;-1.83;
1.86;-3.05;-0.503;-1.81;
1.85;-3.06;-0.505;-1.8;
1.85;-3.07;-0.507;-1.79;
1.85;-3.07;-0.508;-1.78;
1.84;-3.08;-0.51;-1.77;
1.84;-3.09;-0.512;-1.76;
1.84;-3.1;-0.514;-1.74;
1.83;-3.11;-0.515;-1.73;
1.83;-3.11;-0.517;-1.72;
1.83;-3.12;-0.519;-1.71;
1.82;-3.13;-0.521;-1.69;
1.82;-3.14;-0.522;-1.68;
1.82;-3.14;-0.524;-1.67;
1.82;-3.15;-0.526;-1.65;
1.81;-3.16;-0.527;-1.64;
1.81;-3.17;-0.529;-1.63;
1.81;-3.18;-0.53;-1.61;
1.8;-3.18;-0.532;-1.6;
1.8;-3.19;-0.534;-1.58;
1.8;-3.2;-0.535;-1.57;
1.79;-3.21;-0.537;-1.56;
1.79;-3.21;-0.538;-1.54;
1.79;-3.22;-0.54;-1.53;
1.78;-3.23;-0.541;-1.51;
1.78;-3.24;-0.543;-1.5;
1.78;-3.24;-0.544;-1.48;
1.77;-3.25;-0.546;-1.46;
1.77;-3.26;-0.547;-1.45;
1.77;-3.26;-0.549;-1.43;
1.76;-3.27;-0.55;-1.42;
1.76;-3.28;-0.552;-1.4;
1.76;-3.29;-0.553;-1.38;
1.75;-3.29;-0.554;-1.37;
1.75;-3.3;-0.556;-1.35;
1.75;-3.31;-0.557;-1.33;
1.74;-3.32;-0.558;-1.32;
1.74;-3.32;-0.56;-1.3;
1.74;-3.33;-0.561;-1.28;
1.73;-3.34;-0.562;-1.26;
1.73;-3.34;-0.564;-1.25;
1.73;-3.35;-0.565;-1.23;
1.72;-3.36;-0.566;-1.21;
1.72;-3.36;-0.567;-1.19;
1.72;-3.37;-0.568;-1.17;
1.71;-3.38;-0.57;-1.15;
1.71;-3.38;-0.571;-1.13;
1.71;-3.39;-0.572;-1.12;
1.7;-3.4;-0.573;-1.1;
1.7;-3.41;-0.574;-1.08;
1.7;-3.41;-0.575;-1.06;
1.69;-3.42;-0.576;-1.04;
1.69;-3.43;-0.577;-1.02;
1.69;-3.43;-0.578;-0.997;
1.68;-3.44;-0.579;-0.977;
1.68;-3.45;-0.58;-0.957;
1.68;-3.45;-0.581;-0.936;
1.67;-3.46;-0.582;-0.915;
1.67;-3.47;-0.583;-0.894;
1.67;-3.47;-0.584;-0.873;
1.66;-3.48;-0.585;-0.851;
1.66;-3.49;-0.585;-0.83;
1.66;-3.49;-0.586;-0.808;
1.65;-3.5;-0.587;-0.786;
1.65;-3.5;-0.588;-0.764;
1.64;-3.51;-0.589;-0.741;
1.64;-3.52;-0.589;-0.719;
1.64;-3.52;-0.59;-0.696;
1.63;-3.53;-0.591;-0.673;
1.63;-3.54;-0.591;-0.65;
1.63;-3.54;-0.592;-0.627;
1.62;-3.55;-0.593;-0.604;
1.62;-3.56;-0.593;-0.58;
1.62;-3.56;-0.594;-0.557;
1.61;-3.57;-0.594;-0.533;
1.61;-3.57;-0.595;-0.509;
1.61;-3.58;-0.595;-0.484;
1.6;-3.59;-0.596;-0.46;
1.6;-3.59;-0.596;-0.435;
1.6;-3.6;-0.597;-0.411;
1.59;-3.61;-0.597;-0.386;
1.59;-3.61;-0.597;-0.361;
1.58;-3.62;-0.598;-0.335;
1.58;-3.62;-0.598;-0.31;
1.58;-3.63;-0.598;-0.284;
1.57;-3.64;-0.599;-0.258;
1.57;-3.64;-0.599;-0.232;
1.57;-3.65;-0.599;-0.206;
1.56;-3.66;-0.599;-0.18;
1.56;-3.66;-0.6;-0.153;
1.56;-3.67;-0.6;-0.127;
1.55;-3.67;-0.6;-0.0998;
1.55;-3.68;-0.6;-0.0728;
1.54;-3.69;-0.6;-0.0456;
1.54;-3.69;-0.6;-0.0182;
1.54;-3.7;-0.6;0.00933;
1.53;-3.7;-0.6;0.037;
1.53;-3.71;-0.6;0.0649;
1.53;-3.72;-0.6;0.093;
1.52;-3.72;-0.6;0.121;
1.52;-3.73;-0.6;0.15;
1.51;-3.73;-0.599;0.178;
1.51;-3.74;-0.599;0.207;
1.51;-3.75;-0.599;0.236;
1.5;-3.75;-0.599;0.265;
1.5;-3.76;-0.598;0.294;
1.5;-3.77;-0.598;0.324;
1.49;-3.77;-0.598;0.353;
1.49;-3.78;-0.597;0.383;
1.48;-3.78;-0.597;0.413;
1.48;-3.79;-0.597;0.443;
1.48;-3.8;-0.596;0.473;
1.47;-3.8;-0.596;0.504;
1.47;-3.81;-0.595;0.534;
1.47;-3.81;-0.595;0.565;
1.46;-3.82;-0.594;0.596;
1.46;-3.83;-0.593;0.627;
1.45;-3.83;-0.593;0.658;
1.45;-3.84;-0.592;0.69;
1.45;-3.85;-0.591;0.721;
1.44;-3.85;-0.591;0.753;
1.44;-3.86;-0.59;0.785;
1.43;-3.86;-0.589;0.817;
1.43;-3.87;-0.588;0.849;
1.43;-3.88;-0.587;0.882;
1.42;-3.88;-0.587;0.914;
1.42;-3.89;-0.586;0.947;
1.42;-3.9;-0.585;0.98;
1.41;-3.9;-0.584;1.01;
1.41;-3.91;-0.583;1.05;
1.4;-3.92;-0.582;1.08;
1.4;-3.92;-0.58;1.11;
1.4;-3.93;-0.579;1.15;
1.39;-3.94;-0.578;1.18;
1.39;-3.94;-0.577;1.22;
1.38;-3.95;-0.576;1.25;
1.38;-3.96;-0.574;1.28;
1.38;-3.96;-0.573;1.32;
1.37;-3.97;-0.572;1.35;
1.37;-3.98;-0.57;1.39;
1.36;-3.98;-0.569;1.42;
1.36;-3.99;-0.568;1.46;
